
  Variables:
    x : Size=3216, Index=x_index, Domain=NonNegativeReals
        Key                     : Lower : Value : Upper : Fixed : Stale
               ('Benji', 'A43') :     0 :   0.0 :  None : False : False
               ('Benji', 'A44') :     0 :   0.0 :  None : False : False
               ('Benji', 'A51') :     0 :   0.0 :  None : False : False
               ('Benji', 'A52') :     0 :   0.0 :  None : False : False
               ('Benji', 'A53') :     0 :   0.0 :  None : False : False
               ('Benji', 'A54') :     0 :   0.0 :  None : False : False
               ('Benji', 'A61') :     0 :   0.0 :  None : False : False
               ('Benji', 'A62') :     0 :   0.0 :  None : False : False
               ('Benji', 'A63') :     0 :   0.0 :  None : False : False
               ('Benji', 'A64') :     0 :   0.0 :  None : False : False
               ('Benji', 'A71') :     0 :   0.0 :  None : False : False
               ('Benji', 'A72') :     0 :   0.0 :  None : False : False
               ('Benji', 'A73') :     0 :   0.0 :  None : False : False
               ('Benji', 'A74') :     0 :   0.0 :  None : False : False
               ('Benji', 'B11') :     0 :   0.0 :  None : False : False
               ('Benji', 'B12') :     0 :   0.0 :  None : False : False
               ('Benji', 'B13') :     0 :   0.0 :  None : False : False
               ('Benji', 'B14') :     0 :   0.0 :  None : False : False
               ('Benji', 'B15') :     0 :   2.0 :  None : False : False
               ('Benji', 'B16') :     0 :   0.0 :  None : False : False
               ('Benji', 'B21') :     0 :   0.0 :  None : False : False
               ('Benji', 'B22') :     0 :   4.0 :  None : False : False
               ('Benji', 'B23') :     0 :   4.0 :  None : False : False
               ('Benji', 'B24') :     0 :   4.0 :  None : False : False
               ('Benji', 'B25') :     0 :   4.0 :  None : False : False
               ('Benji', 'B26') :     0 :   1.0 :  None : False : False
               ('Benji', 'B31') :     0 :   0.0 :  None : False : False
               ('Benji', 'B32') :     0 :   0.0 :  None : False : False
               ('Benji', 'B33') :     0 :   0.0 :  None : False : False
               ('Benji', 'B34') :     0 :   0.0 :  None : False : False
               ('Benji', 'B35') :     0 :   0.0 :  None : False : False
               ('Benji', 'B36') :     0 :   0.0 :  None : False : False
               ('Benji', 'B41') :     0 :   0.0 :  None : False : False
               ('Benji', 'B42') :     0 :   0.0 :  None : False : False
               ('Benji', 'B43') :     0 :   0.0 :  None : False : False
               ('Benji', 'B44') :     0 :   0.0 :  None : False : False
               ('Benji', 'B45') :     0 :   0.0 :  None : False : False
               ('Benji', 'B46') :     0 :   0.0 :  None : False : False
               ('Benji', 'B51') :     0 :   0.0 :  None : False : False
               ('Benji', 'B52') :     0 :   0.0 :  None : False : False
               ('Benji', 'B53') :     0 :   0.0 :  None : False : False
               ('Benji', 'B54') :     0 :   0.0 :  None : False : False
               ('Benji', 'B55') :     0 :   0.0 :  None : False : False
               ('Benji', 'B56') :     0 :   0.0 :  None : False : False
               ('Benji', 'B61') :     0 :   0.0 :  None : False : False
               ('Benji', 'B62') :     0 :   0.0 :  None : False : False
               ('Benji', 'B63') :     0 :   0.0 :  None : False : False
               ('Benji', 'B64') :     0 :   0.0 :  None : False : False
               ('Benji', 'B65') :     0 :   0.0 :  None : False : False
               ('Benji', 'B66') :     0 :   0.0 :  None : False : False
               ('Benji', 'B71') :     0 :   0.0 :  None : False : False
               ('Benji', 'B72') :     0 :   0.0 :  None : False : False
               ('Benji', 'B73') :     0 :   0.0 :  None : False : False
               ('Benji', 'B74') :     0 :   0.0 :  None : False : False
               ('Benji', 'B75') :     0 :   0.0 :  None : False : False
               ('Benji', 'B76') :     0 :   0.0 :  None : False : False
               ('Benji', 'C11') :     0 :   0.0 :  None : False : False
               ('Benji', 'C12') :     0 :   0.0 :  None : False : False
               ('Benji', 'C13') :     0 :   0.0 :  None : False : False
               ('Benji', 'C21') :     0 :   0.0 :  None : False : False
               ('Benji', 'C22') :     0 :   0.0 :  None : False : False
               ('Benji', 'C23') :     0 :   0.0 :  None : False : False
               ('Benji', 'C31') :     0 :   0.0 :  None : False : False
               ('Benji', 'C32') :     0 :   0.0 :  None : False : False
               ('Benji', 'C33') :     0 :   0.0 :  None : False : False
               ('Benji', 'C41') :     0 :   0.0 :  None : False : False
               ('Benji', 'C42') :     0 :   0.0 :  None : False : False
               ('Benji', 'C43') :     0 :   0.0 :  None : False : False
               ('Benji', 'C51') :     0 :   0.0 :  None : False : False
               ('Benji', 'C52') :     0 :   0.0 :  None : False : False
               ('Benji', 'C53') :     0 :   0.0 :  None : False : False
               ('Benji', 'C61') :     0 :   0.0 :  None : False : False
               ('Benji', 'C62') :     0 :   0.0 :  None : False : False
               ('Benji', 'C63') :     0 :   0.0 :  None : False : False
               ('Benji', 'C71') :     0 :   0.0 :  None : False : False
               ('Benji', 'C72') :     0 :   0.0 :  None : False : False
               ('Benji', 'C73') :     0 :   0.0 :  None : False : False
                ('Benji', 'DD') :     0 :   0.0 :  None : False : False
               ('Benji', 'F11') :     0 :   0.0 :  None : False : False
               ('Benji', 'F12') :     0 :   0.0 :  None : False : False
               ('Benji', 'F13') :     0 :   0.0 :  None : False : False
               ('Benji', 'F14') :     0 :   0.0 :  None : False : False
               ('Benji', 'F15') :     0 :   0.0 :  None : False : False
               ('Benji', 'F16') :     0 :   0.0 :  None : False : False
               ('Benji', 'F21') :     0 :   0.0 :  None : False : False
               ('Benji', 'F22') :     0 :   0.0 :  None : False : False
               ('Benji', 'F23') :     0 :   0.0 :  None : False : False
               ('Benji', 'F24') :     0 :   0.0 :  None : False : False
               ('Benji', 'F25') :     0 :   0.0 :  None : False : False
               ('Benji', 'F26') :     0 :   0.0 :  None : False : False
               ('Benji', 'F31') :     0 :   0.0 :  None : False : False
               ('Benji', 'F32') :     0 :   0.0 :  None : False : False
               ('Benji', 'F33') :     0 :   0.0 :  None : False : False
               ('Benji', 'F34') :     0 :   0.0 :  None : False : False
               ('Benji', 'F35') :     0 :   0.0 :  None : False : False
               ('Benji', 'F36') :     0 :   2.0 :  None : False : False
               ('Benji', 'F41') :     0 :   4.0 :  None : False : False
               ('Benji', 'F42') :     0 :   4.0 :  None : False : False
               ('Benji', 'F43') :     0 :   4.0 :  None : False : False
               ('Benji', 'F44') :     0 :   4.0 :  None : False : False
