              ('Warren', 'BP5') :     0 :   0.0 :  None : False : False
              ('Warren', 'BP6') :     0 :   0.0 :  None : False : False
              ('Warren', 'CL1') :     0 :   0.0 :  None : False : False
              ('Warren', 'CL2') :     0 :   0.0 :  None : False : False
              ('Warren', 'CL3') :     0 :   0.0 :  None : False : False
               ('Warren', 'DD') :     0 :   0.0 :  None : False : False
              ('Warren', 'FG1') :     0 :   0.0 :  None : False : False
              ('Warren', 'FG2') :     0 :   0.0 :  None : False : False
              ('Warren', 'FG3') :     0 :   0.0 :  None : False : False
              ('Warren', 'FG4') :     0 :   0.0 :  None : False : False
              ('Warren', 'FG5') :     0 :   0.0 :  None : False : False
              ('Warren', 'FG6') :     0 :  25.0 :  None : False : False
            ('WarrenOT', 'AG1') :     0 :   0.0 :  None : False : False
            ('WarrenOT', 'AG2') :     0 :   0.0 :  None : False : False
            ('WarrenOT', 'AG3') :     0 :   0.0 :  None : False : False
            ('WarrenOT', 'AG4') :     0 :   0.0 :  None : False : False
            ('WarrenOT', 'BP1') :     0 :   0.0 :  None : False : False
            ('WarrenOT', 'BP2') :     0 :   0.0 :  None : False : False
            ('WarrenOT', 'BP3') :     0 :   0.0 :  None : False : False
            ('WarrenOT', 'BP4') :     0 :   0.0 :  None : False : False
            ('WarrenOT', 'BP5') :     0 :   0.0 :  None : False : False
            ('WarrenOT', 'BP6') :     0 :   0.0 :  None : False : False
            ('WarrenOT', 'CL1') :     0 :   0.0 :  None : False : False
            ('WarrenOT', 'CL2') :     0 :   0.0 :  None : False : False
            ('WarrenOT', 'CL3') :     0 :   0.0 :  None : False : False
             ('WarrenOT', 'DD') :     0 :  15.0 :  None : False : False
            ('WarrenOT', 'FG1') :     0 :   0.0 :  None : False : False
            ('WarrenOT', 'FG2') :     0 :   0.0 :  None : False : False
            ('WarrenOT', 'FG3') :     0 :   0.0 :  None : False : False
            ('WarrenOT', 'FG4') :     0 :   0.0 :  None : False : False
            ('WarrenOT', 'FG5') :     0 :   0.0 :  None : False : False
            ('WarrenOT', 'FG6') :     0 :   0.0 :  None : False : False
             ('William', 'AG1') :     0 :   0.0 :  None : False : False
             ('William', 'AG2') :     0 :   0.0 :  None : False : False
             ('William', 'AG3') :     0 :   0.0 :  None : False : False
             ('William', 'AG4') :     0 :   0.0 :  None : False : False
             ('William', 'BP1') :     0 :   0.0 :  None : False : False
             ('William', 'BP2') :     0 :   0.0 :  None : False : False
             ('William', 'BP3') :     0 :   0.0 :  None : False : False
             ('William', 'BP4') :     0 :   0.0 :  None : False : False
             ('William', 'BP5') :     0 :   0.0 :  None : False : False
             ('William', 'BP6') :     0 :   0.0 :  None : False : False
